id,direction,actual_state,expected_route,reason,p_entry,p_now,drift,slope,abs_delta,gamma_ratio,persistence,confirmations,edb_lean,edb_conf,ggr,kpf,option_exit_friction,future_hedge_friction
case_000008,SHORT_PUT,WATCH,NORMAL,watch_too_sensitive,0.533692,0.518885,-0.014807,-0.029615,0.3737,2.706,LOW,,BULLISH,49.28,CALM_TRANSITION,OK,EXTREME,MEDIUM
case_000012,SHORT_CALL,EXIT_PREFERRED,NORMAL,other,0.74726,0.797591,0.050331,0.100663,0.3433,2.3234,LOW,KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,61.83,NEGATIVE_GAMMA_AMPLIFYING,TOUCHED,GOOD,LOW
case_000016,SHORT_CALL,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.420602,0.589774,0.169172,0.338344,0.4985,3.0397,MEDIUM,GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,56.64,NEGATIVE_GAMMA_AMPLIFYING,TOUCHED,EXTREME,LOW
case_000025,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.70963,0.649114,-0.060517,-0.121033,0.2391,1.3848,LOW,,BEARISH,61.84,CALM_TRANSITION,OK,POOR,MEDIUM
case_000028,SHORT_CALL,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.315841,0.603732,0.287891,0.575782,0.5519,2.3331,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,79.92,NEGATIVE_GAMMA_AMPLIFYING,ABSENT,HIGH,LOW
case_000029,SHORT_PUT,EXIT_PREFERRED,NORMAL,other,0.673768,0.609651,-0.064117,-0.128233,0.3566,2.2631,LOW,KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,52.02,NEGATIVE_GAMMA_AMPLIFYING,PENETRATED,MEDIUM,LOW
case_000035,SHORT_CALL,HEDGE_READY,WATCH,overhedge_due_threshold_or_friction,0.632551,0.662215,0.029664,0.04449,0.5375,1.4335,HIGH,EDB_ADVERSE|GGR_ADVERSE|KPF_BUFFER_WEAK_OR_BROKEN,BULLISH,61.91,NEGATIVE_GAMMA_AMPLIFYING,TOUCHED,HIGH,MEDIUM
case_000036,SHORT_PUT,EXIT_PREFERRED,NORMAL,other,0.67397,0.70921,0.03524,0.07048,0.3586,1.3723,LOW,,BULLISH,53.14,POSITIVE_GAMMA_PINNING,OK,LOW,LOW
case_000037,SHORT_PUT,EXIT_PREFERRED,NORMAL,other,0.518359,0.553727,0.035369,0.070738,0.4112,1.2079,LOW,,BULLISH,76.98,CALM_TRANSITION,INTACT,LOW,LOW
case_000039,SHORT_CALL,WATCH,NORMAL,watch_too_sensitive,0.734386,0.838344,0.103959,0.207918,0.2645,2.5301,LOW,KPF_BUFFER_WEAK_OR_BROKEN,BEARISH,77.57,NEGATIVE_GAMMA_AMPLIFYING,TOUCHED,EXTREME,LOW
